Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
PIH,"1347 Property Insurance Holdings, Inc.",7.65,$45.59M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pih
FLWS,"1-800 FLOWERS.COM, Inc.",10.6,$691.99M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/flws
FCCY,1st Constitution Bancorp (NJ),17.6,$140.51M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,43.34,$1.12B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",8.47,$962.9M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",32.68,$1.54B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/twou
JOBS,"51job, Inc.",34.49,$2.07B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jobs
CAFD,8point3 Energy Partners LP,12.69,$1B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/cafd
EGHT,8x8 Inc,14.05,$1.27B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/eght
AVHI,"A V Homes, Inc.",15.9,$358.86M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/avhi
SHLM,"A. Schulman, Inc.",37.65,$1.11B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/shlm
AAON,"AAON, Inc.",33.05,$1.74B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aaon
ABAX,"ABAXIS, Inc.",54.07,$1.22B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abax
ABEO,Abeona Therapeutics Inc.,5.15,$205.79M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abeo
ABEOW,Abeona Therapeutics Inc.,2.75,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abeow
ABIL,Ability Inc.,3.32,$85.51M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abil
ABMD,"ABIOMED, Inc.",116.92,$5.07B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abmd
AXAS,Abraxas Petroleum Corporation,2.29,$309.38M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/axas
ACIU,AC Immune SA,14.93,$827.06M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aciu
ACIA,"Acacia Communications, Inc.",66.89,$2.5B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acia
ACTG,Acacia Research Corporation,7.55,$381M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/actg
ACHC,"Acadia Healthcare Company, Inc.",36.84,$3.22B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,26.76,$3.24B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acad
ACST,"Acasti Pharma, Inc.",1.2677,$13.58M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acst
AXDX,"Accelerate Diagnostics, Inc.",22.6,$1.16B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/axdx
ACCP,"Accelerated Pharma, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/accp
XLRN,Acceleron Pharma Inc.,29.7,$1.12B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/xlrn
ANCX,Access National Corporation,28.67,$304.2M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ancx
ARAY,Accuray Incorporated,5.25,$428.89M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aray
ACRX,"AcelRx Pharmaceuticals, Inc.",3.25,$147.33M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acrx
