Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
DDD,3D Systems Corporation,15.49,$1.74B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ddd
MMM,3M Company,178.49,$107.36B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mmm
WBAI,500.com Limited,13.64,$566.03M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wbai
WUBA,58.com Inc.,33.37,$4.83B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wuba
AHC,A.H. Belo Corporation,6.1,$132.23M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ahc
ATEN,"A10 Networks, Inc.",8.12,$545.71M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aten
AAC,"AAC Holdings, Inc.",8.4,$199.14M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aac
AIR,AAR Corp.,38.31,$1.31B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/air
AAN,"Aaron&#39;s,  Inc.",32.48,$2.36B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aan
ABB,ABB Ltd,20.98,$44.81B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abb
ABT,Abbott Laboratories,39.2,$57.71B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abt
ABBV,AbbVie Inc.,61.54,$100.01B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abbv
ANF,Abercrombie & Fitch Company,15.79,$1.07B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anf
GCH,"Aberdeen Greater China Fund, Inc.",8.92,$79.97M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gch
JEQ,"Aberdeen Japan Equity Fund, Inc. ",7.74,$105.27M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jeq
SGF,"Aberdeen Singapore Fund, Inc.",9.1,$69.37M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sgf
ABM,ABM Industries Incorporated,43.01,$2.4B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abm
AKR,Acadia Realty Trust,33.83,$2.74B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/akr
ACN,Accenture plc,123.31,$83.51B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acn
ACCO,Acco Brands Corporation,13.1,$1.4B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acco
ATV,"Acorn International, Inc.",7.69,$29.43M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/atv
ATU,Actuant Corporation,29.3,$1.73B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/atu
AYI,Acuity Brands Inc,248.83,$10.97B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ayi
GOLF,Acushnet Holdings Corp.,21.44,$1.59B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/golf
ADX,"Adams Diversified Equity Fund, Inc.",12.69,$1.21B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adx
PEO,"Adams Natural Resources Fund, Inc.",20.36,$571.97M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/peo
AGRO,Adecoagro S.A.,10.36,$1.26B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agro
ADPT,Adeptus Health Inc.,8.45,$178.46M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adpt
ADNT,Adient plc,58.14,$5.45B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adnt
AAP,Advance Auto Parts Inc,175.58,$12.93B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aap
ADSW,"Advanced Disposal Services, Inc.",20.27,$1.78B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adsw
WMS,"Advanced Drainage Systems, Inc.",21.35,$1.17B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wms
ASX,"Advanced Semiconductor Engineering, Inc.",5.32,$8.16B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asx
APFH,"AdvancePierre Foods Holdings, Inc.",28.2,$2.18B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apfh
ASIX,AdvanSix Inc.,19.99,$609.35M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asix
AAV,Advantage Oil & Gas Ltd,7.3,$1.35B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aav
AVK,Advent Claymore Convertible Securities and Income Fund,14.49,$341.69M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/avk
AGC,Advent Claymore Convertible Securities and Income Fund II,5.68,$182.88M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agc
